abalienacijskem | ABALIENACIJSKI
aeromehaničnega | AEROMEHANIČEN - pridevnik od aeromehanika
aeromehaničnemu | AEROMEHANIČEN - pridevnik od aeromehanika
aeromehaničnima | AEROMEHANIČEN - pridevnik od aeromehanika
aeromehaničnimi | AEROMEHANIČEN - pridevnik od aeromehanika
aeroplanktonoma | AEROPLANKTON - [bot.] plankton v zraku, ki ga sestavljajo npr. mikroskopske alge, trosi, pelod
aerosiderolitih | AEROSIDEROLIT - [geol.] meteorit, ki ima poleg silikatov tudi do 50 % železa in niklja
aerosiderolitom | AEROSIDEROLIT - [geol.] meteorit, ki ima poleg silikatov tudi do 50 % železa in niklja
aerosiderolitov | AEROSIDEROLIT - [geol.] meteorit, ki ima poleg silikatov tudi do 50 % železa in niklja
aerotransportih | AEROTRANSPORT - prevoz z letali
aerotransportom | AEROTRANSPORT - prevoz z letali
aerotransportov | AEROTRANSPORT - prevoz z letali
afanoplazmodija | AFANOPLAZMODIJ - [bot.] 
afanoplazmodije | AFANOPLAZMODIJ - [bot.] 
afanoplazmodiji | AFANOPLAZMODIJ - [bot.] 
afanoplazmodiju | AFANOPLAZMODIJ - [bot.] 
afektiranostima | AFEKTIRANOST - lastnost afektiranega človeka
aforističnostih | AFORISTIČNOST - lastnost, značilnost aforističnega
aforističnostim | AFORISTIČNOST - lastnost, značilnost aforističnega
aforističnostjo | AFORISTIČNOST - lastnost, značilnost aforističnega
aforističnostma | AFORISTIČNOST - lastnost, značilnost aforističnega
aforističnostmi | AFORISTIČNOST - lastnost, značilnost aforističnega
afrikanistikama | AFRIKANISTIKA - veda o jezikih in kulturah afriških ljudstev, narodov
afrikanistikami | AFRIKANISTIKA - veda o jezikih in kulturah afriških ljudstev, narodov
afrikanizacijah | AFRIKANIZACIJA - prehajanje vodenja državne uprave, gospodarstva v roke Afričanov
afrikanizacijam | AFRIKANIZACIJA - prehajanje vodenja državne uprave, gospodarstva v roke Afričanov
agamospermijama | AGAMOSPERMIJA - [bot.] nastanek semen brez oploditve, pri čemer se embrio razvije iz različnih delov semenske zasnove ali ženskega gametofita brez zlitja gamet
agamospermijami | AGAMOSPERMIJA - [bot.] nastanek semen brez oploditve, pri čemer se embrio razvije iz različnih delov semenske zasnove ali ženskega gametofita brez zlitja gamet
agitpropovskega | AGITPROPOVSKI - nanašajoč se na agitpropovce ali agitprop
agitpropovskemu | AGITPROPOVSKI - nanašajoč se na agitpropovce ali agitprop
agitpropovskima | AGITPROPOVSKI - nanašajoč se na agitpropovce ali agitprop
agitpropovskimi | AGITPROPOVSKI - nanašajoč se na agitpropovce ali agitprop
aglutinacijskem | AGLUTINACIJSKI - nanašajoč se na aglutinacijo
aglutinacijskih | AGLUTINACIJSKI - nanašajoč se na aglutinacijo
aglutinacijskim | AGLUTINACIJSKI - nanašajoč se na aglutinacijo
aglutinativnega | AGLUTINATIVEN - sposoben aglutinirati
aglutinativnemu | AGLUTINATIVEN - sposoben aglutinirati
aglutinativnima | AGLUTINATIVEN - sposoben aglutinirati
aglutinativnimi | AGLUTINATIVEN - sposoben aglutinirati
agrobakterijama | AGROBAKTERIJA - [bot.] 
agrobakterijami | AGROBAKTERIJA - [bot.] 
agrobiologijama | AGROBIOLOGIJA - veda o bioloških zakonitostih, pomembnih za kmetijstvo in poljedelstvo
agrobiologijami | AGROBIOLOGIJA - veda o bioloških zakonitostih, pomembnih za kmetijstvo in poljedelstvo
agrogeologijama | AGROGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke procese, pomembne za poljedelstvo
agrogeologijami | AGROGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke procese, pomembne za poljedelstvo
agrokombinatoma | AGROKOMBINAT - gospodarska enota kmetijskih in industrijskih obratov
agromelioracija | tehnično izboljšanje kmetijskih zemljišč
agromelioracije | AGROMELIORACIJA - tehnično izboljšanje kmetijskih zemljišč
agromelioraciji | AGROMELIORACIJA - tehnično izboljšanje kmetijskih zemljišč
agromelioracijo | AGROMELIORACIJA - tehnično izboljšanje kmetijskih zemljišč
agroživilstvoma | AGROŽIVILSTVO - dejavnost, ki se ukvarja s pridelovanjem in predelovanjem hrane, surovin rastlinskega in živalskega izvora
airconditionoma | AIRCONDITION - klimatska naprava
akarodomacijema | AKARODOMACIJ - [bot.] 
akatalektičnega | AKATALEKTIČEN - verz s popolno zadnjo stopico
akatalektičnemu | AKATALEKTIČEN - verz s popolno zadnjo stopico
akatalektičnima | AKATALEKTIČEN - verz s popolno zadnjo stopico
akatalektičnimi | AKATALEKTIČEN - verz s popolno zadnjo stopico
akavstobiolitih | AKAVSTOBIOLIT - [geol.] negorljiv organski mineral ali kamnina, nastal z delovanjem organizmov
akavstobiolitom | AKAVSTOBIOLIT - [geol.] negorljiv organski mineral ali kamnina, nastal z delovanjem organizmov
akavstobiolitov | AKAVSTOBIOLIT - [geol.] negorljiv organski mineral ali kamnina, nastal z delovanjem organizmov
akceleracijskem | AKCELERACIJSKI - pridevnik od akceleracija, pospeševalen
akceleracijskih | AKCELERACIJSKI - pridevnik od akceleracija, pospeševalen
akceleracijskim | AKCELERACIJSKI - pridevnik od akceleracija, pospeševalen
akceleratorjema | AKCELERATOR - vzvod za uravnavanje plinske zmesi za motor, pospeševalnik
akcelerometroma | AKCELEROMETER - [avt.] merilnik, pri katerem se pospešek določi iz premika notranjega utežnega sklopa, ki zaradi vpliva pospeška dušeno zaniha, npr. merilnik s potresno maso, merilnik s piezoelektričnim kristalom, kondenzatorski merilnik na integriranem vezju
akcentologijama | AKCENTOLOGIJA - veda o akcentu, naglasoslovje
akcentologijami | AKCENTOLOGIJA - veda o akcentu, naglasoslovje
akcentologinjah | AKCENTOLOGINJA - strokovnjakinja za akcentologijo, naglasoslovka
akcentologinjam | AKCENTOLOGINJA - strokovnjakinja za akcentologijo, naglasoslovka
akcentuacijskem | AKCENTUACIJSKI - pridevnik od akcentuacija
akcentuacijskih | AKCENTUACIJSKI - pridevnik od akcentuacija
akcentuacijskim | AKCENTUACIJSKI - pridevnik od akcentuacija
akcentuiranjema | AKCENTUIRANJE - glagolnik od akcentuirati
akceptacijskega | AKCEPTACIJSKI - pridevnik od akceptacija
akceptacijskemu | AKCEPTACIJSKI - pridevnik od akceptacija
akceptacijskima | AKCEPTACIJSKI - pridevnik od akceptacija
akceptacijskimi | AKCEPTACIJSKI - pridevnik od akceptacija
aklimatizacijah | AKLIMATIZACIJA - prilagajanje, prilagoditev novim življenjskim razmeram, drugačnemu okolju
aklimatizacijam | AKLIMATIZACIJA - prilagajanje, prilagoditev novim življenjskim razmeram, drugačnemu okolju
aklimatizirajmo | AKLIMATIZIRATI - prilagoditi novim življenjskim razmeram, drugačnemu okolju
