abalienacijskem | ABALIENACIJSKI
ocenjevalnikoma | OCENJEVALNIK - [avt.] pravilo za računanje ocene izbrane veličine iz meritev ali opazovanj
ocetnokislinska | OCETNOKISLINSKI - nanašajoč se na ocetno kislino
ocetnokislinske | OCETNOKISLINSKI - nanašajoč se na ocetno kislino
ocetnokislinski | nanašajoč se na ocetno kislino
ocetnokislinsko | OCETNOKISLINSKI - nanašajoč se na ocetno kislino
očiščevališčema | OČIŠČEVALIŠČE - kraj za očiščevanje
odgojiteljicama | ODGOJITELJICA
odgojiteljicami | ODGOJITELJICA
odgovarjajočega | ODGOVARJATI - z besedami izražati komu kaj v zvezi s tem, kar vpraša, vprašuje, poizveduje
odgovarjajočemu | ODGOVARJATI - z besedami izražati komu kaj v zvezi s tem, kar vpraša, vprašuje, poizveduje
odgovarjajočima | ODGOVARJATI - z besedami izražati komu kaj v zvezi s tem, kar vpraša, vprašuje, poizveduje
odgovarjajočimi | ODGOVARJATI - z besedami izražati komu kaj v zvezi s tem, kar vpraša, vprašuje, poizveduje
odgovornostnega | ODGOVORNOSTEN - nanašajoč se na odgovornost
odgovornostnemu | ODGOVORNOSTEN - nanašajoč se na odgovornost
odgovornostnima | ODGOVORNOSTEN - nanašajoč se na odgovornost
odgovornostnimi | ODGOVORNOSTEN - nanašajoč se na odgovornost
odjenljivostima | ODJENLJIVOST
odkašljevanjema | ODKAŠLJEVANJE - glagolnik od odkašljevati se
odkritosrčnejša | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
odkritosrčnejše | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
odkritosrčnejši | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
odkritosrčnejšo | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
odkritosrčnežem | ODKRITOSRČNEŽ - odkritosrčen človek
odkritosrčnežev | ODKRITOSRČNEŽ - odkritosrčen človek
odkritosrčnežih | ODKRITOSRČNEŽ - odkritosrčen človek
odkritosrčnosti | ODKRITOSRČNOST - lastnost, značilnost odkritosrčnega človeka
odkrivateljskem | ODKRIVATELJSKI - nanašajoč se na odkrivalce ali odkrivanje
odkrivateljskih | ODKRIVATELJSKI - nanašajoč se na odkrivalce ali odkrivanje
odkrivateljskim | ODKRIVATELJSKI - nanašajoč se na odkrivalce ali odkrivanje
odkupovalnicama | ODKUPOVALNICA - prostor, obrat za odkupovanje
odkupovalnicami | ODKUPOVALNICA - prostor, obrat za odkupovanje
odličnjakinjama | ODLIČNJAKINJA - učenka z odličnim uspehom
odličnjakinjami | ODLIČNJAKINJA - učenka z odličnim uspehom
odmaknjenostima | ODMAKNJENOST - lastnost, stanje odmaknjenega
odnehljivostima | ODNEHLJIVOST
odpočivališčema | ODPOČIVALIŠČE
odpoklicljivega | ODPOKLICLJIV - ki se da, sme odpoklicati
odpoklicljivemu | ODPOKLICLJIV - ki se da, sme odpoklicati
odpoklicljivima | ODPOKLICLJIV - ki se da, sme odpoklicati
odpoklicljivimi | ODPOKLICLJIV - ki se da, sme odpoklicati
odpošiljateljem | ODPOŠILJATELJ - kdor odpošlje pošiljko
odpošiljateljev | ODPOŠILJATELJ - kdor odpošlje pošiljko
odpošiljateljih | ODPOŠILJATELJ - kdor odpošlje pošiljko
odpovedovanjema | ODPOVEDOVANJE - glagolnik od odpovedovati
odpravljajočega | ODPRAVLJATI - delati, povzročati, da kak pojav, stanje preneha biti, obstajati
odpravljajočemu | ODPRAVLJATI - delati, povzročati, da kak pojav, stanje preneha biti, obstajati
odpravljajočima | ODPRAVLJATI - delati, povzročati, da kak pojav, stanje preneha biti, obstajati
odpravljajočimi | ODPRAVLJATI - delati, povzročati, da kak pojav, stanje preneha biti, obstajati
odprtotrosnicah | ODPRTOTROSNICE - [bot.] deblo gliv (Mycota), ki so kozmopolitske, zanje je značilen bazidij, ki navadno nosi štiri enocelične, haploidne bazidiospore, imajo zapončni micelij z dolipornimi septi, dvoplastno celično steno, navadno so micelijske, nekatere imajo kvasni stadij, micelij lahko tvori sklerocije, rizomorfe, mikorize, bazidiomi pa so pogosto makroskopski in različnih oblik
odprtotrosnicam | ODPRTOTROSNICE - [bot.] deblo gliv (Mycota), ki so kozmopolitske, zanje je značilen bazidij, ki navadno nosi štiri enocelične, haploidne bazidiospore, imajo zapončni micelij z dolipornimi septi, dvoplastno celično steno, navadno so micelijske, nekatere imajo kvasni stadij, micelij lahko tvori sklerocije, rizomorfe, mikorize, bazidiomi pa so pogosto makroskopski in različnih oblik
odpustljivostih | ODPUSTLJIVOST - lastnost, značilnost odpustljivega
odpustljivostim | ODPUSTLJIVOST - lastnost, značilnost odpustljivega
odpustljivostjo | ODPUSTLJIVOST - lastnost, značilnost odpustljivega
odpustljivostma | ODPUSTLJIVOST - lastnost, značilnost odpustljivega
odpustljivostmi | ODPUSTLJIVOST - lastnost, značilnost odpustljivega
odredbodajalcem | ODREDBODAJALEC - kdor daje odredbe, odloke, ukaze
odredbodajalcev | ODREDBODAJALEC - kdor daje odredbe, odloke, ukaze
odredbodajalcih | ODREDBODAJALEC - kdor daje odredbe, odloke, ukaze
odrevenelostima | ODREVENELOST - stanje odrevenelega
odstavljivostih | ODSTAVLJIVOST - dejstvo, da se kdo da, sme odstaviti, odpustiti
odstavljivostim | ODSTAVLJIVOST - dejstvo, da se kdo da, sme odstaviti, odpustiti
odstavljivostjo | ODSTAVLJIVOST - dejstvo, da se kdo da, sme odstaviti, odpustiti
odstavljivostma | ODSTAVLJIVOST - dejstvo, da se kdo da, sme odstaviti, odpustiti
odstavljivostmi | ODSTAVLJIVOST - dejstvo, da se kdo da, sme odstaviti, odpustiti
odstranjevalcem | ODSTRANJEVALEC - delavec, ki kaj odstranjuje
odstranjevalcev | ODSTRANJEVALEC - delavec, ki kaj odstranjuje
odstranjevalcih | ODSTRANJEVALEC - delavec, ki kaj odstranjuje
odstranjevanjem | ODSTRANJEVANJE - glagolnik od odstranjevati
odstranjevanjih | ODSTRANJEVANJE - glagolnik od odstranjevati
odstranljivosti | ODSTRANLJIVOST - lastnost, značilnost odstranljivega
odtiskovalnicah | ODTISKOVALNICA - stroj za poskusne odtise
odtiskovalnicam | ODTISKOVALNICA - stroj za poskusne odtise
oduševljenostih | ODUŠEVLJENOST
oduševljenostim | ODUŠEVLJENOST
oduševljenostjo | ODUŠEVLJENOST
oduševljenostma | ODUŠEVLJENOST
oduševljenostmi | ODUŠEVLJENOST
odvodnjavanjema | ODVODNJAVANJE - glagolnik od odvodnjavati
odzračevalnikih | ODZRAČEVALNIK - naprava, ki omogoča odstranjevanje, izpuščanje zraka iz česa
odzračevalnikom | ODZRAČEVALNIK - naprava, ki omogoča odstranjevanje, izpuščanje zraka iz česa
odzračevalnikov | ODZRAČEVALNIK - naprava, ki omogoča odstranjevanje, izpuščanje zraka iz česa
odžvepljevanjem | ODŽVEPLJEVANJE - [geog.] tehnološki postopki, s katerimi se iz dimnih plinov industrijskih obratov, zlasti termoelektrarn, izloči žveplo
odžvepljevanjih | ODŽVEPLJEVANJE - [geog.] tehnološki postopki, s katerimi se iz dimnih plinov industrijskih obratov, zlasti termoelektrarn, izloči žveplo
oftalmologijama | OFTALMOLOGIJA - veda o očesu in očesnih boleznih
oftalmologijami | OFTALMOLOGIJA - veda o očesu in očesnih boleznih
oftalmologinjah | OFTALMOLOGINJA - zdravnica specialistka za oftalmologijo
oftalmologinjam | OFTALMOLOGINJA - zdravnica specialistka za oftalmologijo
ogljikohidraten | ki vsebuje ogljikove hidrate
ogljikohidratih | OGLJIKOHIDRAT - [farm.] organska alifatska spojina z eno karbonilno in več hidroksilnimi skupinami in njeni derivati
ogljikohidratna | OGLJIKOHIDRATEN - ki vsebuje ogljikove hidrate
ogljikohidratne | OGLJIKOHIDRATEN - ki vsebuje ogljikove hidrate
ogljikohidratni | OGLJIKOHIDRATEN - ki vsebuje ogljikove hidrate
ogljikohidratno | OGLJIKOHIDRATEN - ki vsebuje ogljikove hidrate
ogljikohidratom | OGLJIKOHIDRAT - [farm.] organska alifatska spojina z eno karbonilno in več hidroksilnimi skupinami in njeni derivati
ogljikohidratov | OGLJIKOHIDRAT - [farm.] organska alifatska spojina z eno karbonilno in več hidroksilnimi skupinami in njeni derivati
ogljikovodikoma | OGLJIKOVODIK - spojina ogljika in vodika
ogljikovodikova | OGLJIKOVODIKOV - nanašajoč se na ogljikovodik
ogljikovodikove | OGLJIKOVODIKOV - nanašajoč se na ogljikovodik
ogljikovodikovi | OGLJIKOVODIKOV - nanašajoč se na ogljikovodik
ogljikovodikovo | OGLJIKOVODIKOV - nanašajoč se na ogljikovodik
ohranljivostima | OHRANLJIVOST - sposobnost česa, da se ohrani
ojezerjenostima | OJEZERJENOST - [geog.] razmerje med površino jezer in površino določenega območja, izraženo v odstotkih
okarakteriziraj | OKARAKTERIZIRATI - navesti karakteristične lastnosti, značilnosti
okarakteriziral | OKARAKTERIZIRATI - navesti karakteristične lastnosti, značilnosti
okarakteriziram | OKARAKTERIZIRATI - navesti karakteristične lastnosti, značilnosti
okarakteriziran | OKARAKTERIZIRATI - navesti karakteristične lastnosti, značilnosti
okarakteriziraš | OKARAKTERIZIRATI - navesti karakteristične lastnosti, značilnosti
okarakterizirat | OKARAKTERIZIRATI - navesti karakteristične lastnosti, značilnosti
okazionalizmoma | OKAZIONALIZEM - iz Descartove filozofije izhajajoča filozofsko-teološka smer v 17. stoletju, ki trdi, da je odnos med duhovnostjo in materialnostjo določen z božjim dejanjem
okoljevarstvena | OKOLJEVARSTVEN - nanašajoč se na varstvo okolja
okoljevarstvene | OKOLJEVARSTVEN - nanašajoč se na varstvo okolja
okoljevarstveni | OKOLJEVARSTVEN - nanašajoč se na varstvo okolja
okoljevarstveno | OKOLJEVARSTVEN - nanašajoč se na varstvo okolja
okoljevarstvoma | OKOLJEVARSTVO - prizadevanje, da se ohrani naravno okolje
okostenelostima | OKOSTENELOST - lastnost, značilnost okostenelega
okrepčevališčem | OKREPČEVALIŠČE - prostor, kjer se na hitro streže s pijačo in prigrizki
okrepčevališčih | OKREPČEVALIŠČE - prostor, kjer se na hitro streže s pijačo in prigrizki
okrepčevalnicah | OKREPČEVALNICA - soba ali manjši gostinski lokal, v katerem se na hitro streže s pijačo, prigrizki in manjšim izborom jedi
okrepčevalnicam | OKREPČEVALNICA - soba ali manjši gostinski lokal, v katerem se na hitro streže s pijačo, prigrizki in manjšim izborom jedi
okrepenelostima | OKREPENELOST
okrogloglavcema | OKROGLOGLAVEC - človek s kratko in okroglo glavo
okrogloglavosti | OKROGLOGLAVOST - značilnost človeka s kratko in okroglo glavo
okroglolistnega | OKROGLOLISTEN - ki ima okrogle liste
okroglolistnemu | OKROGLOLISTEN - ki ima okrogle liste
okroglolistnima | OKROGLOLISTEN - ki ima okrogle liste
okroglolistnimi | OKROGLOLISTEN - ki ima okrogle liste
oksidoreduktaza | [farm.] encim, ki katalizira prenos elektrona iz ene molekule v drugo
oksidoreduktaze | OKSIDOREDUKTAZA - [farm.] encim, ki katalizira prenos elektrona iz ene molekule v drugo
oksidoreduktazi | OKSIDOREDUKTAZA - [farm.] encim, ki katalizira prenos elektrona iz ene molekule v drugo
oksidoreduktazo | OKSIDOREDUKTAZA - [farm.] encim, ki katalizira prenos elektrona iz ene molekule v drugo
oksihemoglobina | OKSIHEMOGLOBIN - krvno barvilo, nasičeno s kisikom
oksihemoglobine | OKSIHEMOGLOBIN - krvno barvilo, nasičeno s kisikom
oksihemoglobini | OKSIHEMOGLOBIN - krvno barvilo, nasičeno s kisikom
oksihemoglobinu | OKSIHEMOGLOBIN - krvno barvilo, nasičeno s kisikom
oksihidroksidih | OKSIHIDROKSID - [geol.] mineral, ki ima poleg hidroksidnega iona tudi kisik, npr. goethit
oksihidroksidom | OKSIHIDROKSID - [geol.] mineral, ki ima poleg hidroksidnega iona tudi kisik, npr. goethit
oksihidroksidov | OKSIHIDROKSID - [geol.] mineral, ki ima poleg hidroksidnega iona tudi kisik, npr. goethit
okvalificirajmo | OKVALIFICIRATI
okvalificirajta | OKVALIFICIRATI
okvalificirajte | OKVALIFICIRATI
okvalificirajva | OKVALIFICIRATI
olastninjenjema | OLASTNINJENJE - glagolnik od olastniniti
oleogumirezinih | OLEOGUMIREZIN - [farm.] viskozna in lepljiva zmes smole, eteričnega olja in gumija, ki jo izločajo nekatere rastline za zaščito pri poškodbi tkiva, npr. asafetida, galbanum, olibanum, mira, opoponaks
oleogumirezinom | OLEOGUMIREZIN - [farm.] viskozna in lepljiva zmes smole, eteričnega olja in gumija, ki jo izločajo nekatere rastline za zaščito pri poškodbi tkiva, npr. asafetida, galbanum, olibanum, mira, opoponaks
oleogumirezinov | OLEOGUMIREZIN - [farm.] viskozna in lepljiva zmes smole, eteričnega olja in gumija, ki jo izločajo nekatere rastline za zaščito pri poškodbi tkiva, npr. asafetida, galbanum, olibanum, mira, opoponaks
oligonukleotida | OLIGONUKLEOTID - [farm.] oligomer nukleotidov
oligonukleotide | OLIGONUKLEOTID - [farm.] oligomer nukleotidov
oligonukleotidi | OLIGONUKLEOTID - [farm.] oligomer nukleotidov
oligonukleotidu | OLIGONUKLEOTID - [farm.] oligomer nukleotidov
oligosaharidoma | OLIGOSAHARID - [bot.] ogljikov hidrat, sestavljen iz treh do deset monosaharidnih enot, ki imajo lahko različno število atomov ogljika, npr. gencianoza, verbaskoza, stahioza
oligotrofnostih | OLIGOTROFNOST - [bot.] lastnost ekosistema, vodnega telesa, da vsebuje majhne količine mineralnih hranil, kar zmanjšuje primarno produkcijo
oligotrofnostim | OLIGOTROFNOST - [bot.] lastnost ekosistema, vodnega telesa, da vsebuje majhne količine mineralnih hranil, kar zmanjšuje primarno produkcijo
oligotrofnostjo | OLIGOTROFNOST - [bot.] lastnost ekosistema, vodnega telesa, da vsebuje majhne količine mineralnih hranil, kar zmanjšuje primarno produkcijo
oligotrofnostma | OLIGOTROFNOST - [bot.] lastnost ekosistema, vodnega telesa, da vsebuje majhne količine mineralnih hranil, kar zmanjšuje primarno produkcijo
oligotrofnostmi | OLIGOTROFNOST - [bot.] lastnost ekosistema, vodnega telesa, da vsebuje majhne količine mineralnih hranil, kar zmanjšuje primarno produkcijo
omalovaževalnem | OMALOVAŽEVALEN
omalovaževalnih | OMALOVAŽEVALEN
omalovaževalnim | OMALOVAŽEVALEN
omalovaževanega | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
omalovaževanemu | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
omalovaževanima | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
omalovaževanimi | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
omalovaževanjem | OMALOVAŽEVANJE - glagolnik od omalovaževati
omalovaževanjih | OMALOVAŽEVANJE - glagolnik od omalovaževati
omalovažujočega | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
omalovažujočemu | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
omalovažujočima | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
omalovažujočimi | OMALOVAŽEVATI - dajati, pripisovati čemu majhno pomembnost, vrednost
ombudsmanstvoma | OMBUDSMANSTVO - dejavnost in poslanstvo varuha človekovih pravic
omrtvičenostima | OMRTVIČENOST - stanje omrtvičenega
onaglaševanjema | ONAGLAŠEVANJE - glagolnik od onaglaševati
onesnaženostima | ONESNAŽENOST - lastnost, značilnost onesnaženega
onesnaževalcema | ONESNAŽEVALEC - kdor onesnažuje
onesnaževalkama | ONESNAŽEVALKA - ženska ali država, ustanova, ki onesnažuje
onesnaževalkami | ONESNAŽEVALKA - ženska ali država, ustanova, ki onesnažuje
onesnaževanjema | ONESNAŽEVANJE - glagolnik od onesnaževati
onesposabljajmo | ONESPOSABLJATI - delati, povzročati, da kdo ne more opravljati določenega dela, dejavnosti
onesposabljajta | ONESPOSABLJATI - delati, povzročati, da kdo ne more opravljati določenega dela, dejavnosti
onesposabljajte | ONESPOSABLJATI - delati, povzročati, da kdo ne more opravljati določenega dela, dejavnosti
onesposabljajva | ONESPOSABLJATI - delati, povzročati, da kdo ne more opravljati določenega dela, dejavnosti
onesposobitvama | ONESPOSOBITEV - glagolnik od onesposobiti
onesposobitvami | ONESPOSOBITEV - glagolnik od onesposobiti
onesposobitvijo | ONESPOSOBITEV - glagolnik od onesposobiti
onesposobljenem | ONESPOSOBITI - narediti, povzročiti, da kdo ne more opravljati določenega dela, dejavnosti
onesposobljenih | ONESPOSOBITI - narediti, povzročiti, da kdo ne more opravljati določenega dela, dejavnosti
onesposobljenim | ONESPOSOBITI - narediti, povzročiti, da kdo ne more opravljati določenega dela, dejavnosti
onesposobljenja | ONESPOSOBLJENJE - glagolnik od onesposobiti
onesposobljenje | glagolnik od onesposobiti
onesposobljenji | ONESPOSOBLJENJE - glagolnik od onesposobiti
onesposobljenju | ONESPOSOBLJENJE - glagolnik od onesposobiti
onomatopejskega | ONOMATOPEJSKI - nanašajoč se na onomatopejo
onomatopejskemu | ONOMATOPEJSKI - nanašajoč se na onomatopejo
onomatopejskima | ONOMATOPEJSKI - nanašajoč se na onomatopejo
onomatopejskimi | ONOMATOPEJSKI - nanašajoč se na onomatopejo
onomatopoetičen | nanašajoč se na onomatopoijo
onomatopoetična | ONOMATOPOETIČEN - nanašajoč se na onomatopoijo
onomatopoetične | ONOMATOPOETIČEN - nanašajoč se na onomatopoijo
onomatopoetični | ONOMATOPOETIČEN - nanašajoč se na onomatopoijo
onomatopoetično | ONOMATOPOETIČEN - nanašajoč se na onomatopoijo
ontogenetičnega | ONTOGENETIČEN
ontogenetičnemu | ONTOGENETIČEN
ontogenetičnima | ONTOGENETIČEN
ontogenetičnimi | ONTOGENETIČEN
oogoniogamijama | OOGONIOGAMIJA - [bot.] oploditev, značilna za oomicete (Oomycota), pri kateri moško diferencirano jedro pride skozi oploditveni kanalček neposredno v žensko gametocisto
oogoniogamijami | OOGONIOGAMIJA - [bot.] oploditev, značilna za oomicete (Oomycota), pri kateri moško diferencirano jedro pride skozi oploditveni kanalček neposredno v žensko gametocisto
opalografirajmo | OPALOGRAFIRATI - razmnoževati na opalografu
opalografirajta | OPALOGRAFIRATI - razmnoževati na opalografu
opalografirajte | OPALOGRAFIRATI - razmnoževati na opalografu
opalografirajva | OPALOGRAFIRATI - razmnoževati na opalografu
opeharjenostima | OPEHARJENOST
operacionalnega | OPERACIONALEN - uporaben, učinkovit
operacionalnemu | OPERACIONALEN - uporaben, učinkovit
operacionalnima | OPERACIONALEN - uporaben, učinkovit
operacionalnimi | OPERACIONALEN - uporaben, učinkovit
operativnostima | OPERATIVNOST
opismenjenostih | OPISMENJENOST - lastnost, značilnost opismenjenega človeka
opismenjenostim | OPISMENJENOST - lastnost, značilnost opismenjenega človeka
opismenjenostjo | OPISMENJENOST - lastnost, značilnost opismenjenega človeka
opismenjenostma | OPISMENJENOST - lastnost, značilnost opismenjenega človeka
opismenjenostmi | OPISMENJENOST - lastnost, značilnost opismenjenega človeka
opismenjevanjem | OPISMENJEVANJE - glagolnik od opismenjevati
opismenjevanjih | OPISMENJEVANJE - glagolnik od opismenjevati
oplemenitenjema | OPLEMENITENJE - glagolnik od oplemenititi
oplemenitilnica | tovarniški obrat za oplemenitenje
oplemenitilnice | OPLEMENITILNICA - tovarniški obrat za oplemenitenje
oplemenitilnici | OPLEMENITILNICA - tovarniški obrat za oplemenitenje
oplemenitilnico | OPLEMENITILNICA - tovarniški obrat za oplemenitenje
oplemenjevanjem | OPLEMENJEVANJE - glagolnik od oplemenjevati
oplemenjevanjih | OPLEMENJEVANJE - glagolnik od oplemenjevati
opogumljajočega | OPOGUMLJATI - vplivati na koga, da bi bil pogumen
opogumljajočemu | OPOGUMLJATI - vplivati na koga, da bi bil pogumen
opogumljajočima | OPOGUMLJATI - vplivati na koga, da bi bil pogumen
opogumljajočimi | OPOGUMLJATI - vplivati na koga, da bi bil pogumen
opolnomočencema | OPOLNOMOČENEC
opominjevalcema | OPOMINJEVALEC - kdor opominja
opominjevalnega | OPOMINJEVALEN - s katerim se opominja
opominjevalnemu | OPOMINJEVALEN - s katerim se opominja
opominjevalnima | OPOMINJEVALEN - s katerim se opominja
opominjevalnimi | OPOMINJEVALEN - s katerim se opominja
opominjevanjema | OPOMINJEVANJE
oportunističnem | OPORTUNISTIČEN - nanašajoč se na oportuniste ali oportunizem
oportunističnih | OPORTUNISTIČEN - nanašajoč se na oportuniste ali oportunizem
oportunističnim | OPORTUNISTIČEN - nanašajoč se na oportuniste ali oportunizem
opozicionalcema | OPOZICIONALEC - član opozicijske stranke
opozicionalnega | OPOZICIONALEN
opozicionalnemu | OPOZICIONALEN
opozicionalnima | OPOZICIONALEN
opozicionalnimi | OPOZICIONALEN
opozicionalnost | nagnjenost k nasprotovanju
opravičenostima | OPRAVIČENOST - lastnost, značilnost opravičenega
opravičevalnega | OPRAVIČEVALEN - ki dela kaj opravičeno
opravičevalnemu | OPRAVIČEVALEN - ki dela kaj opravičeno
opravičevalnima | OPRAVIČEVALEN - ki dela kaj opravičeno
opravičevalnimi | OPRAVIČEVALEN - ki dela kaj opravičeno
opravičevanjema | OPRAVIČEVANJE - glagolnik od opravičevati
opravljivostima | OPRAVLJIVOST - lastnost, značilnost opravljivega človeka
opredeljenostih | OPREDELJENOST - lastnost, značilnost opredeljenega
opredeljenostim | OPREDELJENOST - lastnost, značilnost opredeljenega
opredeljenostjo | OPREDELJENOST - lastnost, značilnost opredeljenega
opredeljenostma | OPREDELJENOST - lastnost, značilnost opredeljenega
opredeljenostmi | OPREDELJENOST - lastnost, značilnost opredeljenega
opredeljevalcem | OPREDELJEVALEC - kdor opredeljuje
opredeljevalcev | OPREDELJEVALEC - kdor opredeljuje
opredeljevalcih | OPREDELJEVALEC - kdor opredeljuje
opredeljevanjem | OPREDELJEVANJE - glagolnik od opredeljevati
opredeljevanjih | OPREDELJEVANJE - glagolnik od opredeljevati
opredeljivostih | OPREDELJIVOST - lastnost, značilnost opredeljivega
opredeljivostim | OPREDELJIVOST - lastnost, značilnost opredeljivega
opredeljivostjo | OPREDELJIVOST - lastnost, značilnost opredeljivega
opredeljivostma | OPREDELJIVOST - lastnost, značilnost opredeljivega
opredeljivostmi | OPREDELJIVOST - lastnost, značilnost opredeljivega
opredeljujočega | OPREDELJEVATI - navajati bistvene značilnosti pojma
opredeljujočemu | OPREDELJEVATI - navajati bistvene značilnosti pojma
opredeljujočima | OPREDELJEVATI - navajati bistvene značilnosti pojma
opredeljujočimi | OPREDELJEVATI - navajati bistvene značilnosti pojma
opredmetenostih | OPREDMETENOST - stanje opredmetenega
opredmetenostim | OPREDMETENOST - stanje opredmetenega
opredmetenostjo | OPREDMETENOST - stanje opredmetenega
opredmetenostma | OPREDMETENOST - stanje opredmetenega
opredmetenostmi | OPREDMETENOST - stanje opredmetenega
opremljenostima | OPREMLJENOST - stanje opremljenega
opremljevalcema | OPREMLJEVALEC - kdor se poklicno ukvarja z opremljanjem
opremljevalkama | OPREMLJEVALKA - ženska, ki se poklicno ukvarja z opremljanjem
opremljevalkami | OPREMLJEVALKA - ženska, ki se poklicno ukvarja z opremljanjem
oprijemališčema | OPRIJEMALIŠČE - mesto, kjer se da oprijeti
oprijemljivejša | OPRIJEMLJIV - s čuti zaznaven
oprijemljivejše | OPRIJEMLJIV - s čuti zaznaven
oprijemljivejši | OPRIJEMLJIV - s čuti zaznaven
oprijemljivejšo | OPRIJEMLJIV - s čuti zaznaven
oprijemljivosti | OPRIJEMLJIVOST - lastnost, značilnost oprijemljivega
optimalizacijah | OPTIMALIZACIJA
optimalizacijam | OPTIMALIZACIJA
optimalizirajmo | OPTIMALIZIRATI
optimalizirajta | OPTIMALIZIRATI
optimalizirajte | OPTIMALIZIRATI
optimalizirajva | OPTIMALIZIRATI
optimističnosti | OPTIMISTIČNOST - lastnost optimističnega človeka
optosklopnikoma | OPTOSKLOPNIK - [avt.] elektronska naprava, ki galvansko loči tokokroge zunaj in znotraj regulatorjev ali krmilnikov, tako da prenaša signal z vhoda na izhod naprave s svetlobo, kar omogoča zaščito pred visoko ali hitro se spreminjajočo napetostjo
opustošenostima | OPUSTOŠENOST - lastnost, značilnost opustošenega
opuščavljanjema | OPUŠČAVLJANJE - [geog.] širjenje puščave na obrobna polpuščavska območja s čezmerno pašo, izsekavanjem drevja, zniževanjem gladine talne vode in preveč intenzivno obdelavo zemljišč zaradi hitrega naraščanja prebivalstva, kar pospešuje erozijo prsti, povzroča zasoljevanje tal, degradacijo rastlinskih združb
organicističnem | ORGANICISTIČEN - nanašajoč se na organicizem
organicističnih | ORGANICISTIČEN - nanašajoč se na organicizem
organicističnim | ORGANICISTIČEN - nanašajoč se na organicizem
organistovskega | ORGANISTOVSKI - nanašajoč se na organiste
organistovskemu | ORGANISTOVSKI - nanašajoč se na organiste
organistovskima | ORGANISTOVSKI - nanašajoč se na organiste
organistovskimi | ORGANISTOVSKI - nanašajoč se na organiste
organizacijskem | ORGANIZACIJSKI - nanašajoč se na organizacijo
organizacijskih | ORGANIZACIJSKI - nanašajoč se na organizacijo
organizacijskim | ORGANIZACIJSKI - nanašajoč se na organizacijo
organizatoricah | ORGANIZATORICA
organizatoricam | ORGANIZATORICA
organizatoričen | 
organizatorična | ORGANIZATORIČEN
organizatorične | ORGANIZATORIČEN
organizatorični | ORGANIZATORIČEN
organizatorično | ORGANIZATORIČEN
organizatorjema | ORGANIZATOR - kdor kaj organizira
organizatorkama | ORGANIZATORKA - ženska ali država, ustanova, ki kaj organizira
organizatorkami | ORGANIZATORKA - ženska ali država, ustanova, ki kaj organizira
organizatornega | ORGANIZATOREN
organizatornemu | ORGANIZATOREN
organizatornima | ORGANIZATOREN
organizatornimi | ORGANIZATOREN
organizatorskem | ORGANIZATORSKI - nanašajoč se na organizatorje ali organiziranje
organizatorskih | ORGANIZATORSKI - nanašajoč se na organizatorje ali organiziranje
organizatorskim | ORGANIZATORSKI - nanašajoč se na organizatorje ali organiziranje
organizirancema | ORGANIZIRANEC - kdor je član kake organizacije
organiziranjema | ORGANIZIRANJE - glagolnik od organizirati
organiziranosti | ORGANIZIRANOST - značilnost, stanje organiziranega
organografijama | ORGANOGRAFIJA - [bot.] panoga morfologije, ki se ukvarja z opisovanjem videza, zgradbe organov
organografijami | ORGANOGRAFIJA - [bot.] panoga morfologije, ki se ukvarja z opisovanjem videza, zgradbe organov
organoleptičnem | ORGANOLEPTIČEN - ki se ugotovi, določi z vidom, okusom, otipom in vonjem
organoleptičnih | ORGANOLEPTIČEN - ki se ugotovi, določi z vidom, okusom, otipom in vonjem
organoleptičnim | ORGANOLEPTIČEN - ki se ugotovi, določi z vidom, okusom, otipom in vonjem
orientacijskega | ORIENTACIJSKI - nanašajoč se na orientacijo
orientacijskemu | ORIENTACIJSKI - nanašajoč se na orientacijo
orientacijskima | ORIENTACIJSKI - nanašajoč se na orientacijo
orientacijskimi | ORIENTACIJSKI - nanašajoč se na orientacijo
orientalističen | pridevnik od orientalistika
orientalistična | ORIENTALISTIČEN - pridevnik od orientalistika
orientalistične | ORIENTALISTIČEN - pridevnik od orientalistika
orientalistični | ORIENTALISTIČEN - pridevnik od orientalistika
orientalistično | ORIENTALISTIČEN - pridevnik od orientalistika
orientalistikah | ORIENTALISTIKA - veda o orientalskih jezikih in književnostih
orientalistikam | ORIENTALISTIKA - veda o orientalskih jezikih in književnostih
orientalizirajo | ORIENTALIZIRATI - prilagajati orientalskemu načinu življenja in mišljenja
orientalizirala | ORIENTALIZIRATI - prilagajati orientalskemu načinu življenja in mišljenja
