abrahamkam | ABRAHAMKA - ženska, ki je dopolnila petdeset let
abrahamoma | ABRAHAM - petdeseti rojstni dan
abrahamova | ABRAHAMOV - [esskj] ki je v zvezi z abrahamom 1.
abrahamove | ABRAHAMOV - [esskj] ki je v zvezi z abrahamom 1.
abrahamovi | ABRAHAMOV - [esskj] ki je v zvezi z abrahamom 1.
abrahamovk | ABRAHAMOVKA - ženska, ki je dopolnila petdeset let
abrahamovo | ABRAHAMOV - [esskj] ki je v zvezi z abrahamom 1.
abrazijama | ABRAZIJA - izpodjedanje, rušenje morske obale zaradi razdiralnega delovanja valov
abrazijami | ABRAZIJA - izpodjedanje, rušenje morske obale zaradi razdiralnega delovanja valov
abrazijska | ABRAZIJSKI - nanašajoč se na abrazijo
abrazijske | ABRAZIJSKI - nanašajoč se na abrazijo
abrazijski | nanašajoč se na abrazijo
abrazijsko | ABRAZIJSKI - nanašajoč se na abrazijo
abrazivnem | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
abrazivnih | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
abrazivnim | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
abrazivoma | ABRAZIV - material, ki se uporablja za brušenje materiala, mehkejšega od njega
abreviatur | ABREVIATURA
