abonmajskih | ABONMAJSKI - nanašajoč se na abonma
abonmajskim | ABONMAJSKI - nanašajoč se na abonma
aboosporama | ABOOSPORA - [bot.] spora, ki nastane iz neoplojene ženske gamete pri oomicetah /Ooomycetes/
aboosporami | ABOOSPORA - [bot.] spora, ki nastane iz neoplojene ženske gamete pri oomicetah /Ooomycetes/
aboridžinih | ABORIGIN - prvotni avstralski prebivalec, domorodec
aboridžinom | ABORIGIN - prvotni avstralski prebivalec, domorodec
aboridžinov | ABORIGIN - prvotni avstralski prebivalec, domorodec
aboriginjah | ABORIGINJA - [sinonimni]
aboriginjam | ABORIGINJA - [sinonimni]
aboriginkah | ABORIGINKA - [epravopis] prvotna prebivalka
aboriginkam | ABORIGINKA - [epravopis] prvotna prebivalka
aboriginoma | ABORIGIN - prvotni avstralski prebivalec, domorodec
aboriginska | ABORIGINSKI - nanašajoč se na aborigine
aboriginske | ABORIGINSKI - nanašajoč se na aborigine
aboriginski | nanašajoč se na aborigine
aboriginsko | ABORIGINSKI - nanašajoč se na aborigine
abortirajmo | ABORTIRATI - imeti abortus
abortirajta | ABORTIRATI - imeti abortus
abortirajte | ABORTIRATI - imeti abortus
abortirajva | ABORTIRATI - imeti abortus
abortivnega | ABORTIVEN - nanašajoč se na abortiv
abortivnemu | ABORTIVEN - nanašajoč se na abortiv
abortivnima | ABORTIVEN - nanašajoč se na abortiv
abortivnimi | ABORTIVEN - nanašajoč se na abortiv
abotnostima | ABOTNOST - lastnost abotnega človeka
abradirajmo | ABRADIRATI - [pravopis]
abradirajoč | ABRADIRATI - [pravopis]
abradirajta | ABRADIRATI - [pravopis]
abradirajte | ABRADIRATI - [pravopis]
abradirajva | ABRADIRATI - [pravopis]
abradiranem | ABRADIRAN - [geol.] v zvezi »abradirani material«: material, nastal pri abraziji
abradiranih | ABRADIRAN - [geol.] v zvezi »abradirani material«: material, nastal pri abraziji
abradiranim | ABRADIRAN - [geol.] v zvezi »abradirani material«: material, nastal pri abraziji
abrahamkama | ABRAHAMKA - ženska, ki je dopolnila petdeset let
abrahamkami | ABRAHAMKA - ženska, ki je dopolnila petdeset let
abrahamovca | ABRAHAMOVEC - moški, ki je dopolnil petdeset let
abrahamovce | ABRAHAMOVEC - moški, ki je dopolnil petdeset let
abrahamovci | ABRAHAMOVEC - moški, ki je dopolnil petdeset let
abrahamovcu | ABRAHAMOVEC - moški, ki je dopolnil petdeset let
abrahamovec | moški, ki je dopolnil petdeset let
abrahamovem | ABRAHAMOV - [esskj] ki je v zvezi z abrahamom 1.
abrahamovih | ABRAHAMOV - [esskj] ki je v zvezi z abrahamom 1.
abrahamovim | ABRAHAMOV - [esskj] ki je v zvezi z abrahamom 1.
abrahamovka | ženska, ki je dopolnila petdeset let
abrahamovke | ABRAHAMOVKA - ženska, ki je dopolnila petdeset let
abrahamovki | ABRAHAMOVKA - ženska, ki je dopolnila petdeset let
abrahamovko | ABRAHAMOVKA - ženska, ki je dopolnila petdeset let
abrakadaber | ABRAKADABRA - magična beseda, zapisana navadno na amuletu
abrakadabra | magična beseda, zapisana navadno na amuletu
abrakadabre | ABRAKADABRA - magična beseda, zapisana navadno na amuletu
abrakadabri | ABRAKADABRA - magična beseda, zapisana navadno na amuletu
abrakadabro | ABRAKADABRA - magična beseda, zapisana navadno na amuletu
abrazijskem | ABRAZIJSKI - nanašajoč se na abrazijo
abrazijskih | ABRAZIJSKI - nanašajoč se na abrazijo
abrazijskim | ABRAZIJSKI - nanašajoč se na abrazijo
abrazivnega | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
abrazivnemu | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
abrazivnima | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
