aboralnem | ABORALEN - [pravopis]
aboralnih | ABORALEN - [pravopis]
aboralnim | ABORALEN - [pravopis]
aboridžin | ABORIGIN - prvotni avstralski prebivalec, domorodec
aborigina | ABORIGIN - prvotni avstralski prebivalec, domorodec
aborigine | ABORIGIN - prvotni avstralski prebivalec, domorodec
aborigini | ABORIGIN - prvotni avstralski prebivalec, domorodec
aboriginj | ABORIGINJA - [sinonimni]
aborigink | ABORIGINKA - [epravopis] prvotna prebivalka
aboriginu | ABORIGIN - prvotni avstralski prebivalec, domorodec
abortiraj | ABORTIRATI - imeti abortus
abortiral | ABORTIRATI - imeti abortus
abortiram | ABORTIRATI - imeti abortus
abortiraš | ABORTIRATI - imeti abortus
abortirat | ABORTIRATI - imeti abortus
abortiven | nanašajoč se na abortiv
abortivih | ABORTIV - sredstvo za prekinitev nosečnosti, splavilo
abortivna | ABORTIVEN - nanašajoč se na abortiv
abortivne | ABORTIVEN - nanašajoč se na abortiv
abortivni | ABORTIVEN - nanašajoč se na abortiv
abortivno | ABORTIVEN - nanašajoč se na abortiv
abortivom | ABORTIV - sredstvo za prekinitev nosečnosti, splavilo
abortivov | ABORTIV - sredstvo za prekinitev nosečnosti, splavilo
abortusih | ABORTUS - prekinitev nosečnosti
abortusom | ABORTUS - prekinitev nosečnosti
abortusov | ABORTUS - prekinitev nosečnosti
abotnežem | ABOTNEŽ - aboten človek, neumnež
abotnežev | ABOTNEŽ - aboten človek, neumnež
abotnežih | ABOTNEŽ - aboten človek, neumnež
abotnicah | ABOTNICA - abotna ženska, neumnica
abotnicam | ABOTNICA - abotna ženska, neumnica
abotnikih | ABOTNIK - aboten človek, neumnež
abotnikom | ABOTNIK - aboten človek, neumnež
abotnikov | ABOTNIK - aboten človek, neumnež
abotnosti | ABOTNOST - lastnost abotnega človeka
abradiraj | ABRADIRATI - [pravopis]
abradiral | ABRADIRATI - [pravopis]
abradiram | ABRADIRATI - [pravopis]
abradiran | [geol.] v zvezi »abradirani material«: material, nastal pri abraziji
abradiraš | ABRADIRATI - [pravopis]
abradirat | ABRADIRATI - [pravopis]
abrahamih | ABRAHAM - petdeseti rojstni dan
abrahamka | ženska, ki je dopolnila petdeset let
abrahamke | ABRAHAMKA - ženska, ki je dopolnila petdeset let
abrahamki | ABRAHAMKA - ženska, ki je dopolnila petdeset let
abrahamko | ABRAHAMKA - ženska, ki je dopolnila petdeset let
abrahamom | ABRAHAM - petdeseti rojstni dan
abrahamov | ABRAHAM - petdeseti rojstni dan
abrankoma | ABRANEK - viseča cvetna mačica
abrazijah | ABRAZIJA - izpodjedanje, rušenje morske obale zaradi razdiralnega delovanja valov
abrazijam | ABRAZIJA - izpodjedanje, rušenje morske obale zaradi razdiralnega delovanja valov
abraziven | [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
abrazivih | ABRAZIV - material, ki se uporablja za brušenje materiala, mehkejšega od njega
abrazivna | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
abrazivne | ABRAZIVEN - [kamn.] v zvezi »abrazivno zrno«: naravno ali sintetično zrno visoke trdote, nepravilne oblike, z ostrimi robovi, ki je neenakomerno razporejeno v vezivu orodja za obdelavo naravnega kamna ali galvansko naneseno na površino orodja za obdelavo naravnega kamna, npr. elektrokorund, silicijev karbid, diamant
